RESOURCE_NODE,UNIT_SUBSTATION,UNIT_NAME,Sample BusNames
GREASWOD_ALL,GREASWOD,UNIT2,
GRIF_TRL_RN,GRIF_TRL,UNIT1,
GRIF_TRL_RN,GRIF_TRL,UNIT2,
GRSES_UNIT1,GRSES,UNIT1,
GRSES_UNIT2,GRSES,UNIT2,
GUADG_CCU1,GUADG,GAS1,
GUADG_CCU1,GUADG,GAS2,
GUADG_CCU1,GUADG,STM5,
GUADG_CCU2,GUADG,GAS3,
GUADG_CCU2,GUADG,GAS4,
GUADG_CCU2,GUADG,STM6,
GUNMTN_NODE,GUNMTN,G1,
GWEC_G1,GWEC,GWEC_G1,
HAYSEN1_2,HAYSEN,HAYSENG1,
HAYSEN1_2,HAYSEN,HAYSENG2,
HAYSEN3_4,HAYSEN,HAYSENG3,
HAYSEN3_4,HAYSEN,HAYSENG4,
HELIOS_RN,HELIOS,UNIT1,
HHGT_KENDAL,HHGT,CALLAHAN,
HHGT_KENDAL,HHGT,HHOLLOW1,
HHGT_KENDAL,HHGT,HHOLLOW2,
HHGT_KENDAL,HHGT,HHOLLOW3,
HHGT_KENDAL,HHGT,HHOLLOW4,
HHOLLW2_WND1,HHOLLOW2,WIND1,
HHOLLW3_WND1,HHOLLOW3,WND_1,
HHOLLW4_WND1,HHOLLOW4,WND1,
HICK_G1_G2,HICKMAN,G1,
HICK_G1_G2,HICKMAN,G2,
HICK_G1_G2,OVEJA,G1,
HICK_G1_G2,OVEJA,G2,
HI_LONEB_RN1,HI_LONEB,BESS1,
HI_LONE_ALL,HI_LONE,WGR1A,
HI_LONE_ALL,HI_LONE,WGR1B,
HI_LONE_ALL,HI_LONE,WGR1C,
HI_LONE_ALL,HI_LONE,WGR2,
HI_LONE_ALL,HI_LONE,WGR2A,
HI_LONE_ALL,HI_LONE,WGR3,
HI_LONE_ALL,HI_LONE,WGR4,
HLSES_UNIT3,HLSES,UNIT3,
HLSES_UNIT4,HLSES,UNIT4,
HLSES_UNIT5,HLSES,UNIT5,
HOLCOMB_RN1,HOLCOMB,BESS,
HOLSTEIN_ALL,HOLSTEIN,SOLAR1,
HOLSTEIN_ALL,HOLSTEIN,SOLAR2,
HORSCR_RN,EGROVESL,UNIT1,
HORSECRK_RN,HORSECRK,UNIT1,
HORSECRK_RN,HORSECRK,UNIT2,
HOUSEMTN_RN,HOUSEMTN,BESS1,
HOVEY_GEN,HOVEY,UNIT1,
HOVEY_GEN,HOVEY,UNIT2,
HRBESS_BESS,HRBESS,BESS,
HRFDWIND_ALL,HRFDWIND,JRDWIND1,
HRFDWIND_ALL,HRFDWIND,JRDWIND2,
HRFDWIND_ALL,HRFDWIND,WIND_G,
HRFDWIND_ALL,HRFDWIND,WIND_V,
HWF_HWFG1,HWF,HWFG1,
H_HOLLO_WND1,H_HOLLOW,WND1,
IMP_RN1,IMPACT,UNIT1,
INDNENR_1_RN,DSKYWND1,UNIT_1A,
INDNENR_1_RN,DSKYWND1,UNIT_1B,
INDNENR_2_RN,DSKYWND2,UNIT_2A,
INDNENR_2_RN,DSKYWND2,UNIT_2B,
INDNNWP_RN,INDNNWP,INDNNWP2,
IND_INADALE1,INDL,ESS,
IND_INADALE1,INDL,INADALE1,
IND_INADALE1,INDL,INADALE2,
INGLCOSW_STG,INGLCOSW,STG,
INGLCOS_CTG1,INGLCOSW,CTG1,
INGLCOS_CTG2,INGLCOSW,CTG2,
INKS_INKS_G1,INKSDA,INKS_G1,
INRT_W_ALL,INRT_W,UNIT1,
INRT_W_ALL,INRT_W,UNIT2,
INRT_W_ALL,INRT_W,UNIT3,
JACKCNTY_CT1,JACKCNTY,CT1,
JACKCNTY_CT2,JACKCNTY,CT2,
JACKCNTY_STG,JACKCNTY,STG,
JADE_SLR_ALL,JADE_SLR,UNIT1,
JADE_SLR_ALL,JADE_SLR,UNIT2,
JAY_RN_1,JAY,UNIT1,
JAY_RN_1,JAY,UNIT2,
JCKCNTY2_CT3,JCKCNTY2,CT3,
JCKCNTY2_CT4,JCKCNTY2,CT4,
JCKCNTY2_ST2,JCKCNTY2,ST2,
JC_BAT_RN,JC_BAT,UNIT_1,
JUNCTION_RN,JUNCTION,BESS,
JUNO_ALL,JUNO,UNIT1,
JUNO_ALL,JUNO,UNIT2,
KARAKAW1_1,KARAKAW1,UNIT1,
KARAKAW1_1,KARAKAW1,UNIT2,
KARAKAW2_1,KARAKAW2,UNIT3,
KEECHI_U1,KEECHI,U1,
KELAMSL_U1,KELAM_SL,UNIT1,
KEO_KEO_SM1,KEO,SHRBINO2,
KINGE_ALL,KING_NE,KINGNE,
KINGE_ALL,KING_SE,KINGSE,
KINGW_ALL,KING_NW,KINGNW,
KINGW_ALL,KING_SW,KINGSW,
LACY_CRK_ALL,LACY_CRK,UNIT1,
LACY_CRK_ALL,LACY_CRK,UNIT2,
LACY_CRK_ALL,LACY_CRK,UNIT3,
LACY_CRK_ALL,LACY_CRK,UNIT4,
LAMESASLR_G,LMESASLR,IVORY,
LAMESASLR_G,LMESASLR,UNIT1,
LAPETUS_U1,LAPETUS,UNIT_1,
LARDVFTN_G4,LARDVFTN,G4,
LARDVFTN_G5,LARDVFTN,G5,
LASSO_GEN,LASSO,UNIT1,
LEG_LEG_G1,LEG,LEG_G1,
LEG_LEG_G2,LEG,LEG_G2,
LEONLCPCT1_2,LEON_CRK,LCPCT1,
LEONLCPCT1_2,LEON_CRK,LCPCT2,
LEONLCPCT3_4,LEON_CRK,LCPCT3,
LEONLCPCT3_4,LEON_CRK,LCPCT4,
LGDRAW_S_ALL,LGDRAW_S,UNIT1_1,
LGDRAW_S_ALL,LGDRAW_S,UNIT1_2,
LGD_LANGFORD,LGD,LANGFORD,
LGE_LGE_GT1,LGE,LGE_GT1,
LGE_LGE_GT2,LGE,LGE_GT2,
LGE_LGE_STG,LGE,LGE_STG,
LGW_UNIT_ALL,LGW,UNIT1,
LGW_UNIT_ALL,LGW,UNIT2,
LHM_CVC_G4,LHM,CVC_G4,
LHORN_N_U1_2,LHORN_N,UNIT1,
LHORN_N_U1_2,LHORN_N,UNIT2,
LHSES_UNIT1,LHSES,UNIT1,
